Empty road frame %,Configure,ERD+Yolov5,ERD+SSD,ERD+efficientDet
0%,ERD (in gpu) + OD (in gpu),45.5,20.8,8.9
0%,ERD (in cpu) + OD (in gpu),31.9,14.9,8.3
0%,ERD (in cpu) + OD (in cpu),17.7,8.2,5.8
10%,ERD (in gpu) + OD (in gpu),49.7,23.4,10
10%,ERD (in cpu) + OD (in gpu),33.2,16,8.8
10%,ERD (in cpu) + OD (in cpu),19.6,9.1,6.5
20%,ERD (in gpu) + OD (in gpu),53.9,24.8,11.3
20%,ERD (in cpu) + OD (in gpu),35.5,16.7,9.6
20%,ERD (in cpu) + OD (in cpu),20.5,9.8,7.3
30%,ERD (in gpu) + OD (in gpu),60.2,32.1,13.1
30%,ERD (in cpu) + OD (in gpu),38.4,20,10.6
30%,ERD (in cpu) + OD (in cpu),21.8,11.5,8.2
40%,ERD (in gpu) + OD (in gpu),67.6,37.4,15.2
40%,ERD (in cpu) + OD (in gpu),42,22.2,12.1
40%,ERD (in cpu) + OD (in cpu),25.3,13.1,9.4
50%,ERD (in gpu) + OD (in gpu),76.4,40.5,17.9
50%,ERD (in cpu) + OD (in gpu),45.1,22.6,13.9
50%,ERD (in cpu) + OD (in cpu),30.1,14.8,11
60%,ERD (in gpu) + OD (in gpu),88.6,45.9,21.3
60%,ERD (in cpu) + OD (in gpu),48.7,24.5,16.1
60%,ERD (in cpu) + OD (in cpu),33.3,17.3,13.3
70%,ERD (in gpu) + OD (in gpu),101.7,53.1,27.8
70%,ERD (in cpu) + OD (in gpu),52.8,26.8,19.4
70%,ERD (in cpu) + OD (in cpu),38.9,20.9,16.6
80%,ERD (in gpu) + OD (in gpu),122.9,63.6,37.6
80%,ERD (in cpu) + OD (in gpu),57.7,29.3,23.4
80%,ERD (in cpu) + OD (in cpu),46.3,26.7,22.2
90%,ERD (in gpu) + OD (in gpu),151.6,76.2,63.1
90%,ERD (in cpu) + OD (in gpu),63.3,32.2,30.4
90%,ERD (in cpu) + OD (in cpu),58,35.8,34.2
100%,ERD (in gpu) + OD (in gpu),193.5,167.2,160
100%,ERD (in cpu) + OD (in gpu),71.7,67,66.1
100%,ERD (in cpu) + OD (in cpu),66.7,64.6,63.2
